RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  135    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   35   59     0     0  con    0  1.0E+00  3.7E-02  7.813E-02  2.048E-01
   36   61     0     0  con    1  4.0E-01  1.6E-01  5.604E-01  2.037E-01
   37   63     0     0  con    1  4.7E-01  1.0E-01  1.176E-01  2.017E-01
   38   65     0     0  con    1  3.3E-01  1.0E-01  6.324E-02  2.001E-01
   39   66     0     0  con    0  1.0E+00  5.9E-01  1.814E+00  1.993E-01
   40   75     0     0  con    8  1.1E-01  3.8E-01  4.875E-01  1.928E-01
   41   77     0     0  con    1  4.3E-01  7.4E-02  1.918E-01  1.922E-01
   42   78     0     0  con    0  1.0E+00  1.6E-01  3.499E-01  1.894E-01
   43   79     0     0  con    0  1.0E+00  4.9E-02  2.086E-01  1.880E-01
   44   80     0     0  con    0  1.0E+00  3.9E-01  9.056E-01  1.803E-01
   45   81     0     0  con    0  1.0E+00  1.4E-01  2.829E-01  1.765E-01
   46   82     0     0  con    0  1.0E+00  2.7E-01  1.320E+00  1.756E-01
   47   83     0     0  con    0  1.0E+00  2.7E-02  4.039E-01  1.739E-01
   48   84     0     0  con    0  1.0E+00  1.2E-01  1.704E-01  1.731E-01
   49   85     0     0  con    0  1.0E+00  1.6E-01  6.930E-02  1.725E-01
   50   86     0     0  con    0  1.0E+00  1.9E-01  8.362E-02  1.719E-01
   51   88     0     0  con    1  3.2E-01  2.5E-01  2.419E-01  1.712E-01
   52   90     0     0  con    1  3.3E-01  1.5E-01  5.072E-01  1.709E-01
   53   91     0     0  con    0  1.0E+00  1.3E-01  4.946E-01  1.704E-01
   54   94     0     0  con    2  4.1E-02  3.0E-01  5.584E-01  1.699E-01
   55  103     0     0  con    8  2.5E-01  4.2E-01  3.851E-01  1.675E-01
   56  119     0     0  con   15  8.5E-04  2.0E-02  3.471E-01  1.669E-01
   57  130     0     0  con   10  2.4E-05  9.0E-06  1.488E+00  1.669E-01
   58  131     0     0  con    0  1.0E+00  5.2E-02  8.444E-01  1.663E-01
   59  133     0     0  con    1  5.1E-01  7.8E-02  6.109E-01  1.657E-01
   60  134     0     0  con    0  1.0E+00  3.1E-02  5.898E-01  1.656E-01
   61  135     0     0  con    0  1.0E+00  2.7E-02  1.098E+00  1.655E-01
   62  136     0     0  con    0  1.0E+00  2.2E-02  1.009E+00  1.655E-01
   63  137     0     0  con    0  1.0E+00  7.4E-03  8.173E-01  1.655E-01
   64  138     0     0  con    0  1.0E+00  2.8E-02  8.270E-01  1.655E-01
   65  139     0     0  con    0  1.0E+00  6.7E-02  8.543E-01  1.654E-01
   66  140     0     0  con    0  1.0E+00  2.5E-01  1.093E+00  1.653E-01
   67  141     0     0  con    0  1.0E+00  2.3E-02  8.417E-01  1.652E-01
   68  144     0     0  con    2  2.1E-02  7.2E-03  1.177E+00  1.652E-01
   69  145     0     0  con    0  1.0E+00  1.1E-01  8.281E-01  1.651E-01
